trial_id,sponsor_id,trialName,indication,phase,status,start_date,end_date
tr_0001,sp_001,According-214,Non-Small Cell Lung Cancer,Phase III,active,2025-12-19,2028-04-01
tr_0002,sp_001,Collection-242,Rheumatoid Arthritis,Phase I,suspended,2025-10-24,2026-12-06
tr_0003,sp_001,Grow-130,Type 2 Diabetes,Phase II,active,2025-08-19,2026-03-19
tr_0004,sp_001,Dinner-716,Non-Small Cell Lung Cancer,Phase II,suspended,2024-05-16,2026-04-13
tr_0005,sp_001,Great-559,NASH,Phase III,recruiting,2026-05-30,2027-07-09
tr_0006,sp_001,Husband-925,Major Depressive Disorder,Phase IV,completed,2023-11-05,2026-06-19
tr_0007,sp_001,Throw-259,Alzheimer's Disease,Phase III,recruiting,2023-10-30,2025-02-05
tr_0008,sp_001,Everything-489,Rheumatoid Arthritis,Phase III,completed,2024-07-27,2025-04-27
tr_0009,sp_001,Show-370,Breast Cancer,Phase IV,recruiting,2025-12-16,2028-02-22
tr_0010,sp_001,Capital-180,Migraine,Phase III,completed,2024-12-01,2026-06-21
tr_0011,sp_002,Human-296,Type 2 Diabetes,Phase I,active,2026-06-16,2028-07-26
tr_0012,sp_002,Finally-396,Type 2 Diabetes,Phase II,recruiting,2023-10-11,2026-06-08
tr_0013,sp_002,Present-384,Heart Failure,Phase III,active,2026-01-10,2027-08-02
tr_0014,sp_002,High-463,Alzheimer's Disease,Phase III,recruiting,2026-03-12,2027-09-22
tr_0015,sp_002,Sea-750,Major Depressive Disorder,Phase II,active,2025-04-09,2027-06-21
tr_0016,sp_002,Recently-488,Crohn's Disease,Phase II,completed,2023-10-01,2025-07-15
tr_0017,sp_002,Figure-886,Breast Cancer,Phase II,recruiting,2024-03-22,2027-01-29
tr_0018,sp_002,Top-423,Prostate Cancer,Phase III,recruiting,2026-06-29,2029-03-29
tr_0019,sp_002,Blood-680,Idiopathic Pulmonary Fibrosis,Phase II,suspended,2024-03-27,2025-04-27
tr_0020,sp_002,Long-758,Heart Failure,Phase II,completed,2024-09-05,2026-04-13
tr_0021,sp_002,His-352,Migraine,Phase III,suspended,2025-06-12,2026-04-30
tr_0022,sp_002,Hear-508,Hepatitis B,Phase II,active,2024-01-11,2026-02-26
tr_0023,sp_002,Example-605,Type 2 Diabetes,Phase I,recruiting,2024-03-02,2026-02-01
tr_0024,sp_003,Result-742,Major Depressive Disorder,Phase IV,recruiting,2025-08-23,2026-07-25
tr_0025,sp_003,Politics-490,Psoriasis,Phase IV,completed,2025-06-25,2027-01-20
