sponsor_id,sponsor_name,createdAt
sp_001,Sanofi,2023-06-16
sp_002,Moderna,2021-08-12
sp_003,AstraZeneca,2022-05-13
sp_004,Pfizer,2022-03-17
sp_005,Novartis,2023-10-01
sp_006,Roche,2023-07-27
sp_007,Johnson & Johnson,2024-03-19
sp_008,Merck,2021-10-19
sp_009,GSK,2022-10-21
sp_010,Bristol-Myers Squibb,2021-08-17
sp_011,AbbVie,2022-03-12
sp_012,Eli Lilly,2023-01-20
sp_013,Bayer,2021-08-14
sp_014,Amgen,2022-02-18
sp_015,Gilead Sciences,2023-06-28
sp_016,Boehringer Ingelheim,2023-03-05
sp_017,Takeda,2022-03-14
sp_018,Novo Nordisk,2023-04-22
sp_099,TEST,2024-01-01
